ID; PROVINCIA;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
terremoto; GUADALAJARA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;7;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; GIPUZKOA;1; -   ; -   ;1;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; HUELVA;6; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4;5;1; -   ;36;2; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; HUESCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; JAÉN;1; -   ;3; -   ; -   ;1; -   ; -   ;1;4;1;4; -   ;7; -   ; -   ;4; -   ;47;2;16; -   ; -   ; -   ; -   ; -   ; -   
terremoto; LEÓN; -   ;6; -   ;97;4; -   ; -   ; -   ;1;5; -   ; -   ;11; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; LLEIDA; -   ;1;1; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; LA RIOJA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; LUGO;2;260;86;784;30;3;1;10;2; -   ;3;1;2; -   ; -   ; -   ; -   ;6; -   ; -   ;2; -   ; -   ; -   ; -   ; -   ; -   
terremoto; MADRID; -   ;11;11; -   ; -   ; -   ;2; -   ; -   ; -   ; -   ; -   ; -   ;29; -   ; -   ;1;1;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; MÁLAGA;2;1;1;2; -   ;1; -   ; -   ;1; -   ;4; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   
terremoto; MURCIA; -   ;17;4; -   ;5;7,026;2; -   ;779;3;31;2,057;13; -   ; -   ;17;4;25,969;1;6; -   ; -   ; -   ; -   ;1; -   ;1
terremoto; NAVARRA; -   ; -   ;35; -   ;13; -   ; -   ; -   ;153; -   ;365;1; -   ;1; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ;35; -   ; -   ;36
terremoto; OURENSE;1;23;6;119;14; -   ; -   ;2; -   ; -   ;4; -   ; -   ; -   ; -   ; -   ;1;4; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   
terremoto; ASTURIAS;5;13;1;36; -   ; -   ; -   ; -   ; -   ;1;1; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; PALENCIA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; LAS PALMAS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;11; -   ; -   ; -   ; -   ; -   ; -   ; -   ;12; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
terremoto; PONTEVEDRA; -   ;11;3;55;1; -   ; -   ; -   ;2; -   ;1; -   ;1; -   ; -   ; -   ;2; -   ; -   ;5; -   ; -   ; -   ; -   ;2; -   ; -   
terremoto; SALAMANCA; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
